#p              s
0              1
0.01           1.06
0.02           1.06
0.03           1.12
0.04            1.1
0.05            1.1
0.06           1.34
0.07           1.36
0.08            1.3
0.09           1.42
0.1            1.7
0.11           1.72
0.12           1.78
0.13            1.9
0.14            1.9
0.15           2.42
0.16              2
0.17            1.9
0.18           3.04
0.19           3.32
0.2           2.88
0.21           2.52
0.22           3.86
0.23           3.42
0.24           3.64
0.25           3.24
0.26           4.24
0.27           5.18
0.28            6.1
0.29           7.58
0.3           7.12
0.31            6.6
0.32           8.48
0.33          11.58
0.34          10.98
0.35           10.5
0.36          21.48
0.37          14.76
0.38           15.6
0.39           34.3
0.4          29.04
0.41          37.06
0.42          33.06
0.43           66.5
0.44         103.14
0.45         174.32
0.46          329.4
0.47         491.14
0.48          998.4
0.49        8703.64
0.5         136776
0.51         494921
0.52         582809
0.53         649112
0.54         758851
0.55         814582
0.56         813131
0.57         862907
0.58         892447
0.59         883337
0.6         910119
0.61         897837
0.62         922910
0.63         947345
0.64         932281
0.65         936139
0.66         978534
0.67         981562
0.68         984148
0.69         946905
0.7         988411
0.71         990110
0.72         991613
0.73         992882
0.74         994029
0.75         975070
0.76         995825
0.77         996518
0.78         997133
0.79         997661
0.8         998112
0.81         998474
0.82         998785
0.83         999052
0.84         999253
0.85         999439
0.86         999572
0.87         999683
0.88         999773
0.89         999840
0.9         999893
0.91         999929
0.92         999956
0.93         999972
0.94         999985
0.95         999993
0.96         999997
0.97         999999
0.98          1e+06
0.99          1e+06
