#p              s
0              1
0.01           1.06
0.02            1.1
0.03           1.18
0.04           1.12
0.05            1.3
0.06           1.58
0.07            1.2
0.08           1.56
0.09           1.38
0.1           1.54
0.11            1.9
0.12           1.94
0.13           1.88
0.14           1.82
0.15           2.06
0.16           2.22
0.17           2.48
0.18           2.64
0.19            2.9
0.2           3.36
0.21           2.74
0.22           3.34
0.23           2.98
0.24           3.86
0.25            3.7
0.26           5.48
0.27           5.12
0.28            4.8
0.29           7.78
0.3            6.5
0.31           5.96
0.32           7.06
0.33          11.98
0.34          10.58
0.35          18.92
0.36          15.16
0.37          12.32
0.38          25.66
0.39          22.08
0.4           53.6
0.41          32.98
0.42          75.66
0.43          47.52
0.44         120.52
0.45         119.74
0.46         176.58
0.47         234.58
0.48         431.26
0.49         530.86
0.5          745.9
0.51        1060.44
0.52         1252.4
0.53         1584.6
0.54        1536.16
0.55        1715.32
0.56        2110.48
0.57        2136.46
0.58        2159.06
0.59        2148.86
0.6        2317.54
0.61         2290.5
0.62        2413.42
0.63        2436.16
0.64         2301.9
0.65        2459.34
0.66        2471.62
0.67        2485.66
0.68         2441.2
0.69        2502.38
0.7        2560.82
0.71         2462.1
0.72        2571.48
0.73         2575.8
0.74           2579
0.75         2581.7
0.76        2584.42
0.77        2587.74
0.78         2590.9
0.79        2592.08
0.8        2593.74
0.81        2595.18
0.82        2596.64
0.83        2597.22
0.84        2597.62
0.85        2598.62
0.86        2598.72
0.87        2599.84
0.88        2599.98
0.89        2599.94
0.9         2600.5
0.91        2600.62
0.92        2600.74
0.93        2600.76
0.94         2600.9
0.95        2600.94
0.96        2600.94
0.97           2601
0.98           2601
0.99           2601
