#t           SANO     QUEMANDOSE        QUEMADO
0         999999              1              0
1         999996              3              1
2         999991              5              4
3         999985              6              9
4         999978              7             15
5         999969              9             22
6         999959             10             31
7         999950              9             41
8         999939             11             50
9         999927             12             61
10         999913             14             73
11         999901             12             87
12         999888             13             99
13         999875             13            112
14         999861             14            125
15         999849             12            139
16         999841              8            151
17         999831             10            159
18         999820             11            169
19         999807             13            180
20         999795             12            193
21         999784             11            205
22         999773             11            216
23         999764              9            227
24         999753             11            236
25         999737             16            247
26         999725             12            263
27         999715             10            275
28         999703             12            285
29         999689             14            297
30         999674             15            311
31         999660             14            326
32         999642             18            340
33         999628             14            358
34         999614             14            372
35         999601             13            386
36         999585             16            399
37         999565             20            415
38         999543             22            435
39         999517             26            457
40         999491             26            483
41         999462             29            509
42         999436             26            538
43         999409             27            564
44         999383             26            591
45         999359             24            617
46         999341             18            641
47         999322             19            659
48         999295             27            678
49         999264             31            705
50         999227             37            736
51         999191             36            773
52         999149             42            809
53         999102             47            851
54         999056             46            898
55         999015             41            944
56         998976             39            985
57         998939             37           1024
58         998904             35           1061
59         998867             37           1096
60         998825             42           1133
61         998790             35           1175
62         998761             29           1210
63         998728             33           1239
64         998689             39           1272
65         998648             41           1311
66         998604             44           1352
67         998555             49           1396
68         998500             55           1445
69         998452             48           1500
70         998396             56           1548
71         998342             54           1604
72         998283             59           1658
73         998226             57           1717
74         998179             47           1774
75         998127             52           1821
76         998078             49           1873
77         998029             49           1922
78         997985             44           1971
79         997939             46           2015
80         997891             48           2061
81         997848             43           2109
82         997798             50           2152
83         997750             48           2202
84         997705             45           2250
85         997660             45           2295
86         997613             47           2340
87         997560             53           2387
88         997515             45           2440
89         997465             50           2485
90         997407             58           2535
91         997365             42           2593
92         997324             41           2635
93         997284             40           2676
94         997243             41           2716
95         997198             45           2757
96         997151             47           2802
97         997099             52           2849
98         997054             45           2901
99         997007             47           2946
100         996961             46           2993
101         996917             44           3039
102         996869             48           3083
103         996821             48           3131
104         996774             47           3179
105         996723             51           3226
106         996656             67           3277
107         996581             75           3344
108         996516             65           3419
109         996437             79           3484
110         996347             90           3563
111         996259             88           3653
112         996184             75           3741
113         996106             78           3816
114         996032             74           3894
115         995948             84           3968
116         995867             81           4052
117         995789             78           4133
118         995703             86           4211
119         995618             85           4297
120         995528             90           4382
121         995448             80           4472
122         995376             72           4552
123         995304             72           4624
124         995236             68           4696
125         995164             72           4764
126         995094             70           4836
127         995019             75           4906
128         994937             82           4981
129         994855             82           5063
130         994785             70           5145
131         994722             63           5215
132         994653             69           5278
133         994567             86           5347
134         994472             95           5433
135         994379             93           5528
136         994285             94           5621
137         994199             86           5715
138         994119             80           5801
139         994055             64           5881
140         993986             69           5945
141         993920             66           6014
142         993852             68           6080
143         993780             72           6148
144         993712             68           6220
145         993641             71           6288
146         993566             75           6359
147         993494             72           6434
148         993426             68           6506
149         993345             81           6574
150         993252             93           6655
151         993166             86           6748
152         993080             86           6834
153         992988             92           6920
154         992901             87           7012
155         992807             94           7099
156         992712             95           7193
157         992610            102           7288
158         992505            105           7390
159         992400            105           7495
160         992287            113           7600
161         992145            142           7713
162         992002            143           7855
163         991875            127           7998
164         991746            129           8125
165         991602            144           8254
166         991447            155           8398
167         991287            160           8553
168         991138            149           8713
169         990984            154           8862
170         990820            164           9016
171         990656            164           9180
172         990494            162           9344
173         990334            160           9506
174         990173            161           9666
175         990009            164           9827
176         989850            159           9991
177         989699            151          10150
178         989554            145          10301
179         989417            137          10446
180         989280            137          10583
181         989158            122          10720
182         989046            112          10842
183         988931            115          10954
184         988815            116          11069
185         988697            118          11185
186         988580            117          11303
187         988457            123          11420
188         988328            129          11543
189         988197            131          11672
190         988054            143          11803
191         987913            141          11946
192         987782            131          12087
193         987657            125          12218
194         987527            130          12343
195         987395            132          12473
196         987259            136          12605
197         987117            142          12741
198         986998            119          12883
199         986880            118          13002
200         986753            127          13120
201         986624            129          13247
202         986505            119          13376
203         986389            116          13495
204         986252            137          13611
205         986126            126          13748
206         986001            125          13874
207         985876            125          13999
208         985751            125          14124
209         985612            139          14249
210         985473            139          14388
211         985326            147          14527
212         985176            150          14674
213         985028            148          14824
214         984878            150          14972
215         984720            158          15122
216         984550            170          15280
217         984392            158          15450
218         984245            147          15608
219         984110            135          15755
220         983976            134          15890
221         983858            118          16024
222         983750            108          16142
223         983631            119          16250
224         983509            122          16369
225         983389            120          16491
226         983274            115          16611
227         983149            125          16726
228         983012            137          16851
229         982865            147          16988
230         982710            155          17135
231         982541            169          17290
232         982368            173          17459
233         982202            166          17632
234         982044            158          17798
235         981885            159          17956
236         981746            139          18115
237         981610            136          18254
238         981463            147          18390
239         981320            143          18537
240         981180            140          18680
241         981018            162          18820
242         980847            171          18982
243         980671            176          19153
244         980491            180          19329
245         980318            173          19509
246         980143            175          19682
247         979971            172          19857
248         979804            167          20029
249         979637            167          20196
250         979462            175          20363
251         979295            167          20538
252         979119            176          20705
253         978939            180          20881
254         978755            184          21061
255         978558            197          21245
256         978351            207          21442
257         978148            203          21649
258         977952            196          21852
259         977743            209          22048
260         977500            243          22257
261         977243            257          22500
262         976993            250          22757
263         976741            252          23007
264         976482            259          23259
265         976229            253          23518
266         975969            260          23771
267         975689            280          24031
268         975397            292          24311
269         975097            300          24603
270         974796            301          24903
271         974501            295          25204
272         974189            312          25499
273         973851            338          25811
274         973503            348          26149
275         973169            334          26497
276         972812            357          26831
277         972470            342          27188
278         972140            330          27530
279         971807            333          27860
280         971494            313          28193
281         971177            317          28506
282         970848            329          28823
283         970533            315          29152
284         970220            313          29467
285         969921            299          29780
286         969632            289          30079
287         969339            293          30368
288         969041            298          30661
289         968722            319          30959
290         968428            294          31278
291         968134            294          31572
292         967824            310          31866
293         967516            308          32176
294         967197            319          32484
295         966879            318          32803
296         966565            314          33121
297         966249            316          33435
298         965926            323          33751
299         965599            327          34074
300         965269            330          34401
301         964925            344          34731
302         964582            343          35075
303         964236            346          35418
304         963870            366          35764
305         963489            381          36130
306         963116            373          36511
307         962749            367          36884
308         962390            359          37251
309         962039            351          37610
310         961684            355          37961
311         961359            325          38316
312         961020            339          38641
313         960667            353          38980
314         960340            327          39333
315         959990            350          39660
316         959655            335          40010
317         959323            332          40345
318         958995            328          40677
319         958650            345          41005
320         958298            352          41350
321         957931            367          41702
322         957567            364          42069
323         957221            346          42433
324         956860            361          42779
325         956488            372          43140
326         956099            389          43512
327         955736            363          43901
328         955372            364          44264
329         955005            367          44628
330         954635            370          44995
331         954262            373          45365
332         953904            358          45738
333         953536            368          46096
334         953189            347          46464
335         952820            369          46811
336         952429            391          47180
337         952054            375          47571
338         951691            363          47946
339         951327            364          48309
340         950960            367          48673
341         950578            382          49040
342         950215            363          49422
343         949822            393          49785
344         949424            398          50178
345         949020            404          50576
346         948590            430          50980
347         948156            434          51410
348         947702            454          51844
349         947242            460          52298
350         946791            451          52758
351         946339            452          53209
352         945875            464          53661
353         945413            462          54125
354         944969            444          54587
355         944528            441          55031
356         944102            426          55472
357         943674            428          55898
358         943226            448          56326
359         942780            446          56774
360         942343            437          57220
361         941928            415          57657
362         941533            395          58072
363         941130            403          58467
364         940712            418          58870
365         940285            427          59288
366         939864            421          59715
367         939443            421          60136
368         939036            407          60557
369         938643            393          60964
370         938236            407          61357
371         937800            436          61764
372         937342            458          62200
373         936880            462          62658
374         936422            458          63120
375         935963            459          63578
376         935530            433          64037
377         935081            449          64470
378         934643            438          64919
379         934221            422          65357
380         933823            398          65779
381         933417            406          66177
382         933002            415          66583
383         932557            445          66998
384         932122            435          67443
385         931704            418          67878
386         931277            427          68296
387         930858            419          68723
388         930428            430          69142
389         929977            451          69572
390         929513            464          70023
391         929068            445          70487
392         928641            427          70932
393         928205            436          71359
394         927797            408          71795
395         927361            436          72203
396         926911            450          72639
397         926460            451          73089
398         926023            437          73540
399         925592            431          73977
400         925162            430          74408
401         924751            411          74838
402         924313            438          75249
403         923847            466          75687
404         923413            434          76153
405         922967            446          76587
406         922537            430          77033
407         922101            436          77463
408         921634            467          77899
409         921157            477          78366
410         920665            492          78843
411         920174            491          79335
412         919704            470          79826
413         919232            472          80296
414         918755            477          80768
415         918279            476          81245
416         917803            476          81721
417         917322            481          82197
418         916837            485          82678
419         916342            495          83163
420         915842            500          83658
421         915321            521          84158
422         914801            520          84679
423         914285            516          85199
424         913748            537          85715
425         913225            523          86252
426         912688            537          86775
427         912167            521          87312
428         911638            529          87833
429         911148            490          88362
430         910666            482          88852
431         910186            480          89334
432         909697            489          89814
433         909213            484          90303
434         908721            492          90787
435         908226            495          91279
436         907721            505          91774
437         907203            518          92279
438         906702            501          92797
439         906200            502          93298
440         905670            530          93800
441         905118            552          94330
442         904530            588          94882
443         903961            569          95470
444         903374            587          96039
445         902751            623          96626
446         902161            590          97249
447         901597            564          97839
448         901026            571          98403
449         900481            545          98974
450         899933            548          99519
451         899393            540         100067
452         898863            530         100607
453         898323            540         101137
454         897796            527         101677
455         897264            532         102204
456         896722            542         102736
457         896201            521         103278
458         895663            538         103799
459         895131            532         104337
460         894597            534         104869
461         894072            525         105403
462         893569            503         105928
463         893098            471         106431
464         892604            494         106902
465         892093            511         107396
466         891595            498         107907
467         891111            484         108405
468         890615            496         108889
469         890110            505         109385
470         889585            525         109890
471         889062            523         110415
472         888541            521         110938
473         888005            536         111459
