#id      posx      posy    estado
0         0         0         1
1         0         1         1
2         0         2         1
3         0         3         1
4         0         4         1
5         0         5         1
6         0         6         1
7         0         7         1
8         0         8         1
9         0         9         1
10         0        10         1
11         0        11         1
12         0        12         1
13         0        13         0
14         0        14         0
15         0        15         0
16         0        16         1
17         0        17         1
18         0        18         1
19         0        19         1
20         0        20         1
21         0        21         1
22         0        22         1
23         0        23         1
24         0        24         1
25         0        25         1
26         0        26         1
27         0        27         1
28         0        28         1
29         0        29         1
30         0        30         1
31         0        31         1
32         0        32         1
33         0        33         1
34         0        34         1
35         0        35         1
36         0        36         1
37         0        37         1
38         0        38         1
39         0        39         1
40         0        40         1
41         0        41         1
42         0        42         1
43         0        43         1
44         0        44         1
45         0        45         1
46         0        46         1
47         0        47         1
48         0        48         1
49         0        49         1
50         1         0         1
51         1         1         1
52         1         2         1
53         1         3         1
54         1         4         1
55         1         5         1
56         1         6         1
57         1         7         1
58         1         8         1
59         1         9         1
60         1        10         1
61         1        11         2
62         1        12         0
63         1        13         0
64         1        14         0
65         1        15         1
66         1        16         1
67         1        17         1
68         1        18         1
69         1        19         1
70         1        20         1
71         1        21         1
72         1        22         1
73         1        23         1
74         1        24         1
75         1        25         1
76         1        26         1
77         1        27         1
78         1        28         1
79         1        29         1
80         1        30         1
81         1        31         1
82         1        32         1
83         1        33         1
84         1        34         1
85         1        35         1
86         1        36         1
87         1        37         1
88         1        38         1
89         1        39         1
90         1        40         1
91         1        41         1
92         1        42         1
93         1        43         1
94         1        44         1
95         1        45         1
96         1        46         1
97         1        47         1
98         1        48         1
99         1        49         1
100         2         0         1
101         2         1         1
102         2         2         1
103         2         3         1
104         2         4         1
105         2         5         1
106         2         6         1
107         2         7         1
108         2         8         1
109         2         9         1
110         2        10         0
111         2        11         0
112         2        12         0
113         2        13         0
114         2        14         0
115         2        15         0
116         2        16         0
117         2        17         0
118         2        18         1
119         2        19         1
120         2        20         1
121         2        21         1
122         2        22         1
123         2        23         1
124         2        24         1
125         2        25         1
126         2        26         1
127         2        27         1
128         2        28         1
129         2        29         1
130         2        30         1
131         2        31         1
132         2        32         1
133         2        33         1
134         2        34         1
135         2        35         1
136         2        36         1
137         2        37         1
138         2        38         1
139         2        39         1
140         2        40         1
141         2        41         1
142         2        42         1
143         2        43         1
144         2        44         1
145         2        45         1
146         2        46         1
147         2        47         1
148         2        48         1
149         2        49         1
150         3         0         1
151         3         1         1
152         3         2         1
153         3         3         1
154         3         4         1
155         3         5         1
156         3         6         1
157         3         7         2
158         3         8         1
159         3         9         1
160         3        10         0
161         3        11         0
162         3        12         0
163         3        13         0
164         3        14         0
165         3        15         0
166         3        16         0
167         3        17         0
168         3        18         0
169         3        19         2
170         3        20         1
171         3        21         1
172         3        22         1
173         3        23         1
174         3        24         1
175         3        25         1
176         3        26         1
177         3        27         1
178         3        28         1
179         3        29         1
180         3        30         1
181         3        31         1
182         3        32         1
183         3        33         1
184         3        34         1
185         3        35         1
186         3        36         1
187         3        37         1
188         3        38         1
189         3        39         1
190         3        40         1
191         3        41         1
192         3        42         1
193         3        43         1
194         3        44         1
195         3        45         1
196         3        46         1
197         3        47         1
198         3        48         1
199         3        49         1
200         4         0         1
201         4         1         1
202         4         2         1
203         4         3         1
204         4         4         1
205         4         5         1
206         4         6         2
207         4         7         0
208         4         8         0
209         4         9         0
210         4        10         0
211         4        11         0
212         4        12         0
